user_glid,user_role,src_mcat_id,llm_extracted_json_masked,fel.created_at,eto_ofr_display_id,eto_ofr_approv_date_orig
92919098,BUYER,224543,"{""callback"": ""callback by Soon - To revert after checking the photo (main check karake aapko revert karata hun)"", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Action pending on checking the shared product photo to provide further details.""}, ""metadata"": {""call_type"": {""reason"": ""The call is too brief to definitively classify as B2B or B2C, as no business context, specific products, or quantities were mentioned beyond sharing a photo.""}, ""buyer_intent"": {""narrative"": ""The buyer shared a photo of a product requirement and is waiting for the seller to review it and provide details."", ""reasoning"": ""The buyer has already shared a visual reference of the requirement, indicating a specific need, though no further details like quantity or price were discussed in this brief call."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Will check the photo and revert (Chaliye main check karake aapko revert karata hoon).""}, ""call_purpose"": ""followup"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [], ""seller_queries"": []}}, ""products"": [], ""next_steps"": {""buyer_next_steps"": [""To wait for a response regarding the shared product photo.""], ""seller_next_steps"": [""To check the product photo shared by the customer."", ""To revert with the relevant product information after checking the photo.""]}, ""buyer_details"": {}, ""seller_details"": {}}",2026-07-30 06:11:24.859,148561876346,29/07/26
92919098,BUYER,224543,"{""callback"": ""callback by Today - To check product feasibility after receiving photo (Photo dekh kar bataunga)"", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer is seeking a unique product customization for a startup and intends to send design photos for feasibility assessment. ""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer owns a startup and is looking for custom manufacturing of cosmetic products under their own brand name."", ""evidence"": {""keywords"": [""Startup"", ""Product Customization"", ""One-time use strips"", ""Brand Name""], ""order_type"": [""commercial""], ""repeat_buyer"": true, ""buyer_persona"": {""persona_detail"": ""Startup Founder"", ""persona_category"": ""manufacturer""}}}, ""buyer_intent"": {""narrative"": ""Wants customized cosmetic strips (face moisturizer, serum, facewash) for a startup."", ""reasoning"": ""Buyer has a specific, unique product concept (all-in-one strips) for a new business venture and is proactive in sharing designs."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Will send product photos for further discussion (Photo bhej raha hoon check karke call karna)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Can you do product customization for my startup using one-time use strips?"", ""category"": ""Specifications"", ""sequence"": 1}], ""seller_queries"": [{""query"": ""Can you share a photo of the packaging?"", ""category"": ""Specifications"", ""sequence"": 2}]}}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Cosmetic Skin Care Strips (One-time use strips)"", ""specifications"": [{""name"": ""Type"", ""value"": ""One-time use strips"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Components"", ""value"": ""Face Moisturizer, Serum, Face Wash"", ""buyer_requested"": false, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Face Cream Third Party Manufacturing"", ""reason"": ""The customized strips include moisturizer.""}, {""name"": ""Face Serum Third Party Manufacturing"", ""reason"": ""The strips are intended to contain serum.""}, {""name"": ""Face Wash Third Party Manufacturing"", ""reason"": ""The product concept includes face wash functionality in the strip.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Cosmetic Third Party Manufacturing"", ""reason"": ""The buyer specifically asked for product customization and brand name manufacturing for face care products.""}}], ""next_steps"": {""buyer_next_steps"": [""To share product packaging photos on WhatsApp""], ""seller_next_steps"": [""To review the received photos and call back to discuss feasibility""]}, ""buyer_details"": {""buyer_name"": ""6dac4087ab1a0098b14ed51d2531795dd6f416aba54d6f2962f7b1e1cbbcaaa9""}, ""seller_details"": {""seller_name"": ""44bcff24eb6751fdcc80626affe0ad38e91deadf89b4c1df821055688b96aa47""}}",2026-07-30 06:08:41.328,148561876346,29/07/26
9094134,BUYER,184637,"{""callback"": ""callback by Tomorrow 10 AM - To provide quotaion (Kal subha call karti hoon)"", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""The buyer discussed specific requirements for a boiler system and is waiting for a quotation and location details.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is inquiring about industrial-grade steam ironing equipment involving multiple units (boiler, tables, and irons), suggesting a commercial or laundry business setup."", ""evidence"": {""order_type"": [""commercial""], ""repeat_buyer"": false, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""The buyer is looking for a steam ironing system consisting of one boiler, two tables, and two iron boxes for use in Coimbatore."", ""reasoning"": ""The buyer has specific technical requirements for the setup and is actively seeking pricing and office location details."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""The seller agreed to share the location and quotation on WhatsApp. (WhatsApp pe location aur quotation bhej dungi)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""English"", ""Tamil""], ""primary_language"": ""Tamil"", ""additional_details"": {""buyer_queries"": [{""query"": ""Where is your location in Coimbatore?"", ""category"": ""Location"", ""sequence"": 1}, {""query"": ""What is the price of the steam ironing machine?"", ""category"": ""Pricing"", ""sequence"": 2}, {""query"": ""Can you provide a setup with one boiler, two tables, and two iron boxes?"", ""category"": ""Specifications"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""Are you from Coimbatore?"", ""category"": ""Location"", ""sequence"": 1}, {""query"": ""Confirming your requirement for one boiler and two tables?"", ""category"": ""Specifications"", ""sequence"": 2}]}}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Steam Ironing System"", ""specifications"": [{""name"": ""Boiler Quantity"", ""value"": ""1"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Table Quantity"", ""value"": ""2"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Iron Box Quantity"", ""value"": ""2"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Industrial Automatic Laundry Iron"", ""reason"": ""The requirement for a boiler and multiple tables indicates an industrial-scale laundry setup.""}, {""name"": ""Vacuum Ironing Table"", ""reason"": ""Ironing tables are a core component requested by the buyer.""}, {""name"": ""Ironing Machines"", ""reason"": ""The overall requirement falls under specialized ironing machinery.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Steam Ironing Systems"", ""reason"": ""The buyer specifically asked for a steam ironing setup including a boiler and tables.""}}], ""next_steps"": {""buyer_next_steps"": [""To review the quotation and location on WhatsApp""], ""seller_next_steps"": [""To share the office location on WhatsApp"", ""To send the quotation for one boiler and two tables setup on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""9689253c59d47cc4dad7060cc291dbb2b30d62cbde9ee121a64201cd41cb656f""}, ""seller_details"": {""seller_location"": {""seller_city"": ""Palladam""}}}",2026-07-30 04:29:17.652,148561871334,29/07/26
163247936,BUYER,43017,"{""payment"": {}, ""callback"": """", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""The buyer shows interest in corporate event services and intends to involve his brother to proceed further.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer has a requirement for a corporate event, which falls under commercial services."", ""evidence"": {""keywords"": [""Corporate Event""], ""order_type"": [""commercial""]}}, ""buyer_intent"": {""narrative"": ""The buyer is interested in corporate event services and mentions that he has another contact number for further discussion."", ""reasoning"": ""The buyer acknowledges the query and expresses a need to involve his brother, suggesting a genuine interest but still in a coordination phase."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""The buyer redirected the seller to another contact number for further discussion (Naya number note kar lijiye unse baat kijiye).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [], ""seller_queries"": [{""query"": ""I'm calling from Mumbai regarding a query you posted on IndiaMART about a corporate event."", ""category"": ""Specifications"", ""sequence"": 1}]}, ""intended_application"": ""Corporate Event Management""}, ""products"": [{""product_name"": ""Corporate Event"", ""related_categories"": [{""name"": ""Event Management Services"", ""reason"": ""Corporate event management is a specialized type of event management service.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Corporate Event Management"", ""reason"": ""The seller explicitly mentions a query about a corporate event, which the buyer confirms.""}}], ""next_steps"": {""buyer_next_steps"": [""To share the contact number of his brother who manages events.""], ""seller_next_steps"": [""To contact the buyer's brother for further details regarding the corporate event query.""]}, ""buyer_details"": {""buyer_mobile_number"": ""e0afa6f66daa111edbf63257f03e605b78a33e2a9b66877d6f992beff143bbb1""}, ""seller_details"": {""seller_name"": ""47a79db8dc3b54364ae66f657f1c6f0fd6153e8295e2b2b7afe06cba17474897""}}",2026-07-29 10:16:22.124,148531976775,29/07/26
272450049,BUYER,13824,"{""payment"": {}, ""callback"": """", ""lead_tag"": {""deal_blockers"": [{""detail"": ""The seller's minimum order quantity of 5000 is much higher than the buyer's 50 pieces."", ""category"": ""MOQ""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""The seller's MOQ significantly exceeds the buyer's needs, leading to no deal.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer wanted a small quantity of pharma bottles for their business but could not meet the seller's MOQ. Therefore, the call is categorized as B2B but was ultimately unsuccessful."", ""evidence"": {""order_type"": [""other""], ""repeat_buyer"": false, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""The buyer wanted to purchase 50 pharma glass bottles for their small business."", ""reasoning"": ""The buyer has a specific requirement for their business and is looking for a small initial order to test the product."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Lost"", ""conclusion_notes"": ""The deal was lost due to a mismatch in quantity requirements and the seller's MOQ. (Local mein rate check karke batata hoon)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""English"", ""additional_details"": {""buyer_queries"": [{""query"": ""I need clear bottles with glass droppers for pharma use. Do you have these?"", ""category"": ""Specifications"", ""sequence"": 1}, {""query"": ""Can I order 50 pieces?"", ""category"": ""Quantity"", ""sequence"": 2}, {""query"": ""Could you provide any locally available references?"", ""category"": ""Availability"", ""sequence"": 4}], ""seller_queries"": [{""query"": ""What is the quantity?"", ""category"": ""Quantity"", ""sequence"": 3}]}, ""intended_application"": ""Pharma Packaging""}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Pharma Glass Bottle"", ""specifications"": [{""name"": ""Color"", ""value"": ""Clear"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Closure Type"", ""value"": ""Glass Dropper"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""quantity_required"": {""unit"": ""pieces"", ""value"": 50}, ""related_categories"": [{""name"": ""Glass Dropper Bottle"", ""reason"": ""The buyer mentioned the bottle comes with a glass dropper.""}], ""is_buyer_interested"": true, ""minimum_order_quantity"": {""unit"": ""pieces"", ""value"": 5000}, ""most_specific_category"": {""name"": ""Pharma Glass Bottle"", ""reason"": ""The buyer explicitly states they need pharma bottles with glass droppers.""}, ""seller_accepts_quantity"": false}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""24cba1263475f27eeaff3b93904b004006720194f2f3c60e7613f109127a4ebb""}, ""seller_details"": {""seller_name"": ""670bef1ec9582bdc21c216e76dce4032a4558680e79c958d99a4379045d2f7af""}}",2026-07-29 09:41:23.206,148562015895,29/07/26
272450049,BUYER,13824,"{""callback"": ""callback by Tomorrow 12 PM - To discuss bulk pricing alternatives (Kal barah baje dobara baat karte hain)"", ""lead_tag"": {""deal_blockers"": [{""detail"": ""Quoted price of 330 per piece was too high for the buyer's target packaging budget."", ""category"": ""Price""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""Buyer rejected the price of 330 per piece as too high for their hair oil packaging budget.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""Buyer is looking for packaging for their hair oil brand and intends to purchase in bulk for commercial use."", ""evidence"": {""order_type"": [""commercial"", ""bulk""], ""repeat_buyer"": true, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Wants clear glass dropper bottles for hair oil brand packaging."", ""reasoning"": ""Buyer had clear specifications for size, material, and and was looking for a solution for their product packaging."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Lost"", ""conclusion_notes"": ""Price too high for the buyer's budget (330 per piece is too expensive for me for packaging).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Do you sell 100ml clear glass dropper bottles?"", ""category"": ""Availability"", ""sequence"": 1}, {""query"": ""What is the price per piece?"", ""category"": ""Pricing"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""Which size do you need?"", ""category"": ""Specifications"", ""sequence"": 2}]}, ""intended_application"": ""Packaging for hair oil brand""}, ""products"": [{""price"": {""value"": 330, ""currency"": ""INR"", ""price_unit"": ""piece"", ""buyer_price_reaction"": {""quote"": ""330 per piece is very expensive for me for packaging."", ""category"": ""Rejected""}}, ""in_stock"": ""in stock"", ""product_name"": ""125ml Clear Glass Dropper Bottle"", ""specifications"": [{""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""125"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Material"", ""value"": ""Clear Glass"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Stopper Type"", ""value"": ""Rubber Dropper"", ""buyer_requested"": false, ""seller_mentioned"": true}], ""is_buyer_interested"": false}, {""in_stock"": ""in stock"", ""product_name"": ""60ml Clear Glass Dropper Bottle"", ""specifications"": [{""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""60"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Material"", ""value"": ""Clear Glass"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Stopper Type"", ""value"": ""Rubber Dropper"", ""buyer_requested"": false, ""seller_mentioned"": true}], ""is_buyer_interested"": true}, {""in_stock"": ""out of stock"", ""product_name"": ""100ml Clear Glass Dropper Bottle"", ""specifications"": [{""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""100"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Material"", ""value"": ""Clear Glass"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""is_buyer_interested"": false}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""24cba1263475f27eeaff3b93904b004006720194f2f3c60e7613f109127a4ebb""}, ""seller_details"": {""seller_name"": ""7a37da88ade07dac25e766269720f5331c4e082c8270a6c94d81e225ccee3ed8""}}",2026-07-29 09:38:17.051,148562015895,29/07/26
272450049,BUYER,13824,"{""callback"": ""callback by Tomorrow 10 AM - Follow up for 100ml amber bottle"", ""lead_tag"": {""deal_blockers"": [{""detail"": ""100ml clear glass bottle not available"", ""category"": ""Availability""}], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer is currently researching and considering alternative colors like amber due to stock issues with clear bottle""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is a small scale manufacturer of hair oils looking for a trial batch for her business, indicating B2B intent."", ""evidence"": {""keywords"": [""Small batches"", ""Hair oil"", ""Clear glass"", ""Amber glass""], ""order_type"": [""trial"", ""commercial""], ""repeat_buyer"": true, ""buyer_persona"": {""persona_detail"": ""Hair Oil Small Batch Producer"", ""persona_category"": ""manufacturer""}, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Wants around 30 to 50 pieces of 100ml clear glass bottles with droppers for hair oils."", ""reasoning"": ""Buyer has a clear specification (100ml, clear glass, dropper) and quantity (30-50 pieces) but showing flexibility in color after current stock is unavailable."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Will call back after checking other options (Baaki options check karke call karta hoon)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Are glass bottles available?"", ""category"": ""Availability"", ""sequence"": 1}, {""query"": ""Is 100ml clear glass bottle with dropper available?"", ""category"": ""Availability"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""What is the purpose of the bottles?"", ""category"": ""Other"", ""sequence"": 4, ""answer_by_buyer"": ""I have small hair oil batches and want to shift to glass""}]}}, ""products"": [{""in_stock"": ""out of stock"", ""product_name"": ""100ml Clear Glass Dropper Bottle"", ""specifications"": [{""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""100"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Color"", ""value"": ""Clear"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Type"", ""value"": ""Dropper"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""pieces"", ""value"": 30}, ""related_categories"": [{""name"": ""Essential Oil Bottle"", ""reason"": ""Used for packaging hair oils""}, {""name"": ""Cosmetic Glass Bottle"", ""reason"": ""Used for cosmetic hair oil application""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Glass Dropper Bottle"", ""reason"": ""Specifically mentioned glass bottle with a dropper""}, ""seller_accepts_quantity"": true}], ""next_steps"": {""buyer_next_steps"": [""To check if amber color suits the branding""], ""seller_next_steps"": [""To confirm price for 100ml amber dropper bottles"", ""To call back tomorrow morning""]}, ""buyer_details"": {""buyer_name"": ""24cba1263475f27eeaff3b93904b004006720194f2f3c60e7613f109127a4ebb""}, ""seller_details"": {""seller_name"": ""021fb044d1c216bc015a04fce9067ffb109253369c8c0a82ffe5941aa4ed7fa7""}}",2026-07-29 09:33:46.151,148562015895,29/07/26
12428234,BUYER,7836,"{""callback"": ""callback by Today 2 PM - The call was on hold and then disconnected so the seller needs to return the call."", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""The call was placed on hold and disconnected before any conversation about the product could take place.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The call disconnected during the hold period before any business details or buyer persona could be identified."", ""evidence"": {}}, ""buyer_intent"": {""narrative"": ""The buyer connected via IndiaMART but the call was put on hold and disconnected."", ""reasoning"": ""No requirements or products were discussed as the call was put on hold immediately and then terminated."", ""intent_level"": ""Low""}, ""call_outcome"": {""category"": ""Lost"", ""conclusion_notes"": ""Call was put on hold and disconnected (Nungal pesum nabar ungal azhaippai hold-il vaithullar).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Tamil"", ""English""], ""primary_language"": ""Tamil"", ""additional_details"": {""buyer_queries"": [], ""seller_queries"": []}}, ""products"": [], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": []}, ""buyer_details"": {}, ""seller_details"": {}}",2026-07-29 08:02:19.553,148562309034,29/07/26
126461031,BUYER,4752,"{""callback"": ""callback by Tomorrow - To share details (Main das minute mein saari details bhejta hoon)"", ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer has expressed clear interest in specific herbal shampoos and mentioned bulk requirements but the next step involves sharing the catalog and specifications before finalizing.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is inquiring for products in bulk liters for his own brand, which indicates a B2B requirement for a reseller or distributor."", ""evidence"": {""keywords"": [""Own Brand"", ""Bulk Purchase"", ""Herbal Shampoo""], ""order_type"": [""bulk"", ""commercial""], ""repeat_buyer"": false, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Wants to buy red onion, anti-dandruff, and amla-shikakai herbal shampoos in bulk (liters) for his own brand."", ""reasoning"": ""The buyer has specific product interests (red onion, anti-dandruff, amla+shikakai) and clear requirements for bulk quantities in liters for branding purposes."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Buyer will share name and requirements on WhatsApp for the catalog. (WhatsApp pe naam aur requirement bhej do)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Which varieties of herbal shampoos are available?"", ""category"": ""Specifications"", ""sequence"": 1, ""answer_by_seller"": ""Aloe vera, neem, shikakai, amla, ritha, anti-dandruff, hairfall control, and red onion herbal shampoos are available.""}, {""query"": ""What is the price range of these products?"", ""category"": ""Pricing"", ""sequence"": 3, ""answer_by_seller"": ""The price will be provided once the packaging size is finalized.""}, {""query"": ""Is bulk shampoo available in liters?"", ""category"": ""Quantity"", ""sequence"": 4, ""answer_by_seller"": ""Yes, it is available in liter quantities.""}], ""seller_queries"": [{""query"": ""In what size of packaging is the shampoo required?"", ""category"": ""Specifications"", ""sequence"": 2}]}, ""intended_application"": ""Retail Resale""}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Onion Shampoo (Red Onion Shampoo)"", ""specifications"": [{""name"": ""Type"", ""value"": ""Red Onion"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""related_categories"": [{""name"": ""Herbal Shampoo"", ""reason"": ""This product is part of the herbal shampoo category as discussed.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Onion Shampoo"", ""reason"": ""The buyer explicitly inquired about red onion herbal shampoo.""}}, {""in_stock"": ""in stock"", ""product_name"": ""Anti Dandruff Shampoo"", ""specifications"": [{""name"": ""Type"", ""value"": ""Anti Dandruff"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""related_categories"": [{""name"": ""Herbal Shampoo"", ""reason"": ""This product is part of the herbal shampoo category as discussed.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Anti Dandruff Shampoo"", ""reason"": ""The buyer explicitly inquired about anti-dandruff herbal shampoo.""}}, {""in_stock"": ""in stock"", ""product_name"": ""Amla Shikakai Shampoo (Amla plus Shikakai)"", ""specifications"": [{""name"": ""Type"", ""value"": ""Amla & Shikakai"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""related_categories"": [{""name"": ""Herbal Shampoo"", ""reason"": ""This product is part of the herbal shampoo category as discussed.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Amla Shikakai Shampoo"", ""reason"": ""The buyer explicitly inquired about amla and shikakai herbal shampoo.""}}], ""next_steps"": {""buyer_next_steps"": [""To share name and requirement details on the seller's WhatsApp number.""], ""seller_next_steps"": [""To send the catalog and price list once the buyer shares his details."", ""To call back in 10 minutes to share complete details.""]}, ""buyer_details"": {""buyer_name"": ""d51ae77904d69eb36a3a1c774def03c1a79c1dbc489641597120308fe9fb25e9""}, ""seller_details"": {""seller_mobile_number"": ""4af931913612885052fc5302307c1e02dadb74dc677a853a08fd0bbbf9ed331c""}}",2026-07-29 06:06:56.694,148562016313,29/07/26
76122363,BUYER,188649,"{""payment"": {""payment_mode"": ""net banking"", ""payment_details"": ""Advance online payment required; no COD available.""}, ""lead_tag"": {""deal_blockers"": [{""detail"": ""Buyer asked for COD but seller only offers advance payment."", ""category"": ""Payment""}], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer is negotiating price and needs to share photos to confirm compatibility.""}, ""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""Retail purchase for a single AC outdoor unit PCB."", ""evidence"": {""order_type"": [""one-time""], ""buyer_persona"": {""persona_category"": ""end_consumer""}, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Wants a MarQ AC Outdoor PCB for delivery to Farrukhabad, UP."", ""reasoning"": ""Buyer specifically asked for a MarQ outdoor PCB, discussed courier delivery, and negotiated the price from 5300 to 5000."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Buyer will send product photos on WhatsApp for confirmation (Photo bhejta hoon phir aap batao).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""How will I receive the PCB in Farrukhabad?"", ""category"": ""Delivery"", ""sequence"": 1, ""answer_by_seller"": ""You can get it through courier. We will ship from Amravati and it will be delivered directly to your home.""}, {""query"": ""Is there a COD (Cash on Delivery) option available?"", ""category"": ""Credit"", ""sequence"": 2, ""answer_by_seller"": ""Payment must be made online in advance. We do not have COD (Cash on Delivery) option.""}, {""query"": ""What is the price of the PCB?"", ""category"": ""Pricing"", ""sequence"": 3, ""answer_by_seller"": ""The price is 5300 rupees including courier charges.""}], ""seller_queries"": [{""query"": ""Where are you from?"", ""category"": ""Location"", ""sequence"": 4, ""answer_by_buyer"": ""I am from Farrukhabad.""}]}, ""intended_application"": ""AC Repair""}, ""products"": [{""price"": {""value"": 5000, ""currency"": ""INR"", ""price_unit"": ""piece"", ""delivery_charge"": {""value"": 500, ""details"": ""Courier charges of approximately 500-600 rupees are included in the price."", ""is_delivery_charge_included"": true}, ""negotiation_notes"": ""Seller initially quoted 5300 and agreed to 5000 after negotiation."", ""buyer_price_reaction"": {""quote"": ""Thoda concession nahi hoga? (No concession?)"", ""category"": ""Negotiating""}}, ""in_stock"": ""in stock"", ""product_name"": ""MarQ Outdoor PCB (AC PCB)"", ""specifications"": [{""name"": ""Brand"", ""value"": ""MarQ"", ""buyer_requested"": false, ""seller_mentioned"": true}, {""name"": ""Unit Type"", ""value"": ""Outdoor"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""piece"", ""value"": 1}, ""related_categories"": [{""name"": ""Circuit Board"", ""reason"": ""A PCB is essentially a circuit board.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Air Conditioner PCB"", ""reason"": ""Explicitly discussed as a PCB for MarQ brand AC outdoor unit.""}, ""seller_accepts_quantity"": true}], ""next_steps"": {""buyer_next_steps"": [""To send photos of the PCB on WhatsApp to confirm the model.""], ""seller_next_steps"": [""To verify the PCB model from the shared photos.""]}, ""buyer_details"": {""buyer_location"": {""buyer_city"": ""Farrukhabad"", ""buyer_state"": ""UP""}}, ""seller_details"": {""seller_location"": {""seller_city"": ""Amravati""}}}",2026-07-29 05:52:41.891,148561983575,29/07/26
